0.96,0.63,11,14,0.3,0.92,0.97,0.84,0.51,0.38,0.72,0.85,0.11,0.24,0.39,0.82,0.03,0.8,0.07,0.85,0.64,0.16,0.47, 0.7804054054054053
0.96,0.7,2,2,0.67,0.98,0.97,0.94,0.81,0.6,0.72,0.92,0.09,0.24,0.14,0.61,0.03,0.0,0.64,0.48,0.69,0.46,0.73, 0.6923515981735161
0.96,0.61,2,14,0.67,0.98,0.97,0.94,0.36,0.6,0.82,0.66,0.09,0.24,0.91,0.68,0.25,0.84,0.23,0.05,0.78,0.8,0.2, 0.7985651214128034
0.54,0.82,2,1,0.6,0.98,0.97,0.83,0.81,0.38,0.72,0.11,0.09,0.24,0.14,0.61,0.33,0.92,0.64,0.48,0.69,0.46,0.73, 0.6699239956568946
0.96,0.63,11,14,0.3,0.92,0.97,0.84,0.51,0.38,0.72,0.85,0.11,0.08,0.39,0.61,0.03,0.8,0.07,0.85,0.64,0.16,0.47, 0.8022222222222223
0.96,0.7,2,1,0.6,0.98,0.97,0.83,0.81,0.6,0.72,0.66,0.09,0.24,0.91,0.82,0.33,0.92,0.64,0.48,0.69,0.46,0.73, 0.7542087542087543
0.57,0.49,2,2,0.75,0.28,0.63,0.83,0.42,0.6,0.6,0.11,0.71,0.24,0.14,0.68,0.03,0.67,0.09,0.18,0.55,0.68,0.82, 0.5210409745293466
0.96,0.7,2,1,0.6,0.98,0.97,0.83,0.81,0.6,0.72,0.66,0.09,0.46,0.91,0.61,0.33,0.92,0.64,0.48,0.69,0.46,0.73, 0.7755991285403049
0.02,0.7,2,1,0.63,0.37,0.97,0.94,0.1,0.6,0.35,0.66,0.28,0.24,0.05,0.3,0.5,0.92,0.56,0.65,0.56,0.99,0.67, 0.7015625
0.96,0.7,2,2,0.6,0.98,0.97,0.83,0.81,0.6,0.72,0.12,0.45,0.52,0.91,0.61,0.33,0.92,0.64,0.48,0.69,0.46,0.73, 0.6756453423120089
0.96,0.8,2,2,0.6,0.74,0.97,0.42,0.81,0.54,0.82,0.66,0.11,0.24,0.91,0.69,0.33,0.18,0.61,0.67,0.76,0.67,0.41, 0.7398648648648649
0.96,0.7,14,3,0.87,0.98,0.1,0.83,0.81,0.6,0.72,0.11,0.09,0.24,0.14,0.61,0.75,0.92,0.64,0.48,0.69,0.46,0.73, 0.6223698781838317
